feed_id	sid	ctime
637571018529792	727278535.0	2019-11-25 17:30:48.178
640216301880832	661906118.0	2019-11-27 14:22:01.848
640710172295168	1362198022.0	2019-11-28 11:24:14.136
640423531136000	2035231605.0	2019-11-27 17:52:46.438
638947703495680	20429439.0	2019-11-26 16:51:15.095
643243810046976	927741951.0	2019-11-29 17:41:33.347
638846928427520	403602851.0	2019-11-26 15:08:47.140
638536895012352	1901628780.0	2019-11-26 09:53:21.337
642637291159552	223161161.0	2019-11-29 07:24:28.887
643341872497664	45749597.0	2019-11-29 19:21:17.716
641856226771968	45217728.0	2019-11-28 18:09:57.358
637130578615296	277245223.0	2019-11-25 10:02:48.292
637553543535616	820090848.0	2019-11-25 17:13:02.485
638900609260032	1949103671.0	2019-11-26 16:03:19.453
637340400458752	2027843326.0	2019-11-25 13:36:15.559
639004158794752	145967400.0	2019-11-26 17:48:39.934
638340643871744	1134957196.0	2019-11-26 06:33:44.101
637088232118272	1142418030.0	2019-11-25 09:19:44.861
640745111684096	349050632.0	2019-11-27 23:19:44.820
642704604627456	1763906004.0	2019-11-29 08:32:59.464
643228757885952	19553771.0	2019-11-29 17:26:09.756
641924538417152	1431931808.0	2019-11-28 19:19:25.598
643348628473344	311993858.0	2019-11-29 19:28:07.499
641229738738176	62579353.0	2019-11-28 07:32:44.408
643349659829760	1517440962.0	2019-11-29 19:29:16.736
639203008632832	2009427077.0	2019-11-26 21:11:01.075
639786623998464	1909502951.0	2019-11-27 07:04:49.138
642078800217088	545314856.0	2019-11-28 21:56:21.214
639085110467072	367543297.0	2019-11-26 19:11:02.386
638740926535680	1741858158.0	2019-11-26 13:20:58.765
638866666428416	201511148.0	2019-11-26 15:28:54.556
637971653647872	703870403.0	2019-11-26 00:18:19.564
643012591780864	257676942.0	2019-11-29 13:46:19.116
642689774649344	1317994349.0	2019-11-29 08:17:58.335
640503319953920	1223174764.0	2019-11-27 19:14:13.734
637816138620416	1442657175.0	2019-11-25 21:40:54.603
639650870926336	25146855.0	2019-11-27 04:46:35.573
640454836814848	187344411.0	2019-11-27 18:24:25.224
642007712153600	1777779428.0	2019-11-28 20:44:02.236
640924788491776	1050119803.0	2019-11-28 02:22:25.897
643214427635712	393432264.0	2019-11-29 17:11:34.171
637991458035712	153741210.0	2019-11-26 00:38:38.803
637342041971200	1194513058.0	2019-11-25 13:38:01.199
641345245544448	129097910.0	2019-11-28 09:30:08.918
640076610733056	280479004.0	2019-11-27 11:59:40.013
639959910996992	1744773627.0	2019-11-27 10:00:56.896
637330718776320	1962189733.0	2019-11-25 13:47:13.246
640313772983808	2032216687.0	2019-11-27 16:00:51.606
640343974576128	1844664266.0	2019-11-27 16:31:37.040
639865046899200	144573681.0	2019-11-27 08:24:24.373
637158317202432	779483325.0	2019-11-25 10:31:01.039
639357572733952	165361654.0	2019-11-26 23:48:15.445
640742954025984	82124125.0	2019-11-27 23:17:32.081
641536780189696	1048319784.0	2019-11-28 12:45:04.914
640945007903232	849327687.0	2019-11-28 02:43:00.266
643512119378432	24763611.0	2019-11-29 22:14:24.611
639268509637120	103383729.0	2019-11-26 22:17:40.699
638625669274624	1726138178.0	2019-11-26 11:23:48.869
641394940101120	505413255.0	2019-11-28 10:20:44.408
643250613126144	616944458.0	2019-11-29 17:48:23.666
642255233860608	1889326576.0	2019-11-29 00:56:09.581
641547363975680	2030034281.0	2019-11-28 12:55:47.311
643560529856000	1281989576.0	2019-11-29 23:03:54.035
640029897967104	93308065.0	2019-11-27 11:13:06.068
640783714288640	1554072580.0	2019-11-27 23:59:00.301
641474542912512	462652015.0	2019-11-28 11:41:45.828
641591404397056	36561883.0	2019-11-28 13:40:35.866
642629372888064	1828942164.0	2019-11-29 07:16:25.279
642227591806976	28979597.0	2019-11-29 00:27:46.056
641087528125440	262274719.0	2019-11-28 05:08:00.149
637616550665728	280479004.0	2019-11-25 18:17:09.184
637370855300608	221788443.0	2019-11-25 14:07:13.034
641983090672640	848186418.0	2019-11-28 20:19:00.927
639007733816832	1395802827.0	2019-11-26 17:52:19.888
637519759219200	1583998442.0	2019-11-25 16:38:40.263
643581542925824	2016941057.0	2019-11-29 23:25:06.439
639935335700480	56710354.0	2019-11-27 09:36:25.695
641074821039616	1543742332.0	2019-11-28 04:55:03.795
640375779917824	570298011.0	2019-11-27 17:04:06.278
637097393395712	846299189.0	2019-11-25 09:29:19.344
641731641999360	1923152815.0	2019-11-28 16:03:16.530
638336997957120	187728024.0	2019-11-26 06:30:03.358
637606168861696	333493433.0	2019-11-25 18:06:41.046
641570181596672	44972515.0	2019-11-28 13:19:00.296
642922783244288	1957931655.0	2019-11-29 12:14:57.692
641159210468352	81214590.0	2019-11-28 06:20:54.412
641534285234176	1240970244.0	2019-11-28 12:42:29.742
639352519548416	82457206.0	2019-11-26 23:43:02.632
640151149854720	274604646.0	2019-11-27 13:15:31.579
641566889231872	224810576.0	2019-11-28 13:15:46.828
642175832539136	339442586.0	2019-11-28 23:35:07.288
637307869387264	873188293.0	2019-11-25 13:03:11.447
640484709941760	1125959539.0	2019-11-27 18:54:52.293
641242925647360	2037181336.0	2019-11-28 07:46:03.649
